土楼村,116.120994,40.187192
水南路口南,116.119332,40.194783
南口农场南站,116.119019,40.204701
南口农场,116.118876,40.209994
南口李庄东站,116.11869,40.217609
南口李庄北站,116.118611,40.223312
温南路口南,116.118561,40.227085
南口西站,116.124536,40.234353
南口,116.130157,40.234196
南口东站,116.134653,40.235881
南口东街,116.137634,40.2416
南口路口南,116.137947,40.242832
红泥沟,116.153455,40.237153
陈庄,116.163513,40.234333
雪山村,116.174336,40.230434
昌平旧县西站,116.185028,40.227501
昌平旧县,116.18943,40.22641
邓庄,116.203247,40.224323
昌平西关环岛西,116.210156,40.224188
昌平西关,116.223372,40.220217
昌平南大街,116.237018,40.220655
中国政法大学(昌平),116.246216,40.221031
昌平东关,116.257843,40.221532
